file name ,artist ,music id ,genre,BPM,??
Only Coin I Carry (Glass' Theme),Trevor Morris,0,Soundtrack/Instrumental,31,TRUE
Some Clues Lie Here Within,Patrick Haesler,1,Soundtrack/Instrumental,31,TRUE
I Love Paris,Ella Fitzgerald,2,Jazz/Pop,41,TRUE
"10,000 Miles Away",Darrell Scott,3,Folk,42,TRUE
Temple Gate,Peter McConnell,4,Soundtrack/Instrumental,41,TRUE
Carry On,Fun.,5,Pop/Rock,50,TRUE
Victory,Yolanda Adams,6,Pop/Rock,61,TRUE
The Lion Sleeps Tonight (Wimoweh),The Tokens,7,World/Traditional,61,TRUE
Green Light,John Legend & Andre 3000,8,Pop/Electronic,62,TRUE
Bohemian Rhapsody,Queen,9,Rock,72,TRUE
Get Ur Freak On (LP Version),Missy Elliott,10,Hip-hop/Rap,71,TRUE
Shake Ya Tailfeather,"Murphy Lee, Nelly & P. Diddy",11,Hip-hop/Rap,70,TRUE
Under the Bridge,Red Hot Chili Peppers,12,Alternative Rock,82,TRUE
21 Guns,Green Day,13,Rock,80,TRUE
Ho Hey,The Lumineers,14,Indie Folk,80,TRUE
Imma Be,The Black Eyed Peas,15,Hip-hop/Rap,92,TRUE
Rock Your Body,Justin Timberlake,16,Pop/R&B,101,TRUE
Gives You Hell,The All-American Rejects,17,Pop Rock,100,TRUE
Eye of the Tiger,Survivor,18,Rock,109,TRUE
Hollaback Girl,Gwen Stefani,19,Pop,110,TRUE
Stronger,Britney Spears,20,Pop/Dance,108,TRUE
Raise Your Glass,P!nk,21,Pop/Rock,122,TRUE
Bad Romance,Lady GaGa,22,Pop/Electronic,119,TRUE
Just Dance,Lady GaGa & Colby O'Donis,23,Pop/Dance,119,TRUE
Moves Like Jagger (Studio Recording from ,Maroon 5,24,Pop/Rock,128,TRUE
Boom Boom Pow,The Black Eyed Peas,25,Hip-hop/Rap,130,TRUE
Womanizer,Britney Spears,26,Pop,139,TRUE
Viva la Vida,Coldplay,27,Alternative Rock,138,TRUE
Little Lion Man,Mumford & Sons,28,Indie Folk/Rock,139,TRUE
Dog Days Are Over,Florence + The Machine,29,Indie Pop/Rock,150,TRUE
Harder to Breathe,Maroon 5,30,Pop/Rock,150,TRUE
Mr. Brightside,The Killers,31,Indie Rock,150,TRUE
"Sugar, We're Goin Down",Fall Out Boy,32,Pop Punk,162,TRUE
Hey Ya!,OutKast,33,Funk/Soul,160,TRUE
The Middle,Jimmy Eat World,34,Pop Rock,162,TRUE
Paper Planes,M.I.A.,35,Hip-hop/Pop,172,TRUE
The Pretender,Foo Fighters,36,Rock,172,TRUE
I'm a Believer,The Monkees,37,Pop Rock,181,TRUE
Rock Lobster,The B-52's,38,New Wave/Rock,181,TRUE
Tusk,Fleetwood Mac,39,Rock,180,TRUE
Kiss You,One Direction,40,Pop,180,TRUE
Love Like Woe,The Ready Set,41,Pop/R&B,182,TRUE
